,IBOXX,SPXPuts,Beta,0
2020-01-03,0.005103070760372752,-0.002975373295550199,,
2020-01-06,-0.004231088087328416,0.00242541957366349,,
2020-01-07,-0.0024436578399242848,-0.00028266268435039876,,
2020-01-08,-0.0035635355315566386,0.001538535567473076,,
2020-01-09,0.004188375276430456,0.002009139993798037,,
2020-01-10,0.005112247071502374,-3.521330459665961e-05,,
2020-01-13,-0.002279102306268932,0.0013924953299113696,,
2020-01-14,0.0014563722587501715,4.5211022454694216e-05,,
2020-01-15,0.0028145162220889475,0.0002461130474946671,,
2020-01-16,-0.0002803502005264136,0.00011048003586733302,,
2020-01-17,0.00011488167975848285,0.0009787216669678855,,
2020-01-21,0.0060387514891866445,-0.0013353147503298857,,
2020-01-22,0.0010875460102042211,0.0005775165443235863,,
2020-01-23,0.0007639058422315159,0.000501917334715607,,
2020-01-24,0.0032936049940017753,-0.0052676054134099815,,
2020-01-27,0.00191611866047392,-0.011231171360486236,,
2020-01-28,-0.0019483563078166455,0.00787605697405347,,
2020-01-29,0.00455881565780647,-0.0006632592599462583,,
2020-01-30,-0.0006643625688802501,0.003115015262063814,,
2020-01-31,0.001740835958179865,-0.013941015558921244,,
2020-02-03,0.0009707033600578896,0.00678632893844533,,
2020-02-04,-0.004756312245541849,0.011004682809272026,,
2020-02-05,-0.0013573250089127242,0.006322264979164771,,
2020-02-06,0.0017896505239693994,0.0018325403281345132,,
2020-02-07,0.005465592085551307,-0.0020374742376665367,,
2020-02-10,0.001364253161323603,0.00371228272405677,,
2020-02-11,-0.0020066840344838965,0.000831377321416582,,
2020-02-12,-0.002212960496223104,0.0022616290877310874,,
2020-02-13,0.000874965641270542,-0.00015392674606840018,,
2020-02-14,0.002608134188052169,0.000828938435503801,,
2020-02-18,0.00208435521533179,0.0005555500584346618,,
2020-02-19,-0.0008009271120981154,0.0006543594451331458,,
2020-02-20,0.0016091066247749808,0.0001189284547642444,,
2020-02-21,0.0026901325285946243,-0.0014528868138929951,,
2020-02-24,0.0018763482395733888,-0.023172215395183215,,
2020-02-25,0.001070749773563584,-0.027055804955559815,,
2020-02-26,0.000579146546145104,-0.004031093460298507,,
2020-02-27,-0.005155285970102952,-0.04492814406232348,,
2020-02-28,0.006073265586904242,-0.008784055952419045,,
2020-03-02,0.0016378441348701145,0.046355919946886814,,
2020-03-03,0.0071583220045141616,-0.02927179315261519,,
2020-03-04,0.0028806834500159084,0.04094610848311575,,
2020-03-05,0.0012011380394474358,-0.033550137662300195,,
2020-03-06,0.012168781366955095,-0.017648717338246023,,
2020-03-09,-0.020662723051906973,-0.08086111248903283,,
2020-03-10,-0.02511655231629284,0.05082678322606515,,
2020-03-11,-0.009010358022316645,-0.05041017358921529,,
2020-03-12,-0.030829535725764856,-0.10358492871274194,,
2020-03-13,-0.004647749907302767,0.0903173284841472,,
2020-03-16,-0.002298622773175829,-0.12175929214000014,,
2020-03-17,-0.03568046960826621,0.05668156160060711,,
2020-03-18,-0.051573183035565684,-0.05005645845790685,,
2020-03-19,-0.021433611593913326,0.0015548738276791596,,
2020-03-20,-0.008029513045531012,-0.017031892702758178,,
2020-03-23,0.014012209403206022,-0.014527463728995826,,
2020-03-24,0.021667730287387776,0.053850709653215034,,
2020-03-25,0.025369231268824954,0.0003434610337595956,,
2020-03-26,0.01872038079195626,0.022669779009082625,,
2020-03-27,0.0135626428050859,-0.00977661871504587,,
2020-03-30,0.013768047512499493,0.020263856362859656,,
2020-03-31,0.005326979375682939,0.0006067244411864792,,
2020-04-01,-0.007056449603855874,-0.01694715725695861,,
2020-04-02,0.0005341183717613163,0.014466845051572363,,
2020-04-03,-0.000967687880576662,-0.00019203318392424507,,
2020-04-06,0.0018891700461214356,0.019230325458271302,,
2020-04-07,0.0086968137566803,0.0009603465517526999,,
2020-04-08,0.007268491793572807,0.005998510544712232,,
2020-04-09,0.0324382492110189,0.0019873848142433204,,
2020-04-13,0.006485667264714223,0.0013123728773249965,,
2020-04-14,0.003940893012451596,0.0002237400646993848,,
2020-04-15,0.002398521796319386,9.321025443842501e-05,,
2020-04-16,0.0027139341802984163,9.320156709602401e-05,,
2020-04-17,-0.0037634230033587457,0.0064717528936046875,,
2020-04-20,-0.0018309646161771553,-0.010000827825489722,,
2020-04-21,-0.0018798781293938305,-0.017574437291129286,,
2020-04-22,2.2162117739199516e-05,0.016938253375103685,,
2020-04-23,0.005204017456575727,0.0016208469354870303,,
2020-04-24,-0.0005194604833729244,0.01235638299187869,,
2020-04-27,-0.0051198862601893325,0.009424124664477063,,
2020-04-28,0.004330071246391398,-0.0019949796594715963,,
2020-04-29,0.0007297656262226226,0.009995799349192147,,
2020-04-30,-0.00117505854707467,-0.003482625237595016,,
2020-05-01,-0.005061484851195175,-0.010852398820487608,,
2020-05-04,-0.002875640347719255,0.00549887157383111,,
2020-05-05,0.00010295437321694578,0.0055355296374566265,,
2020-05-06,-0.008149398698959587,-0.0016635201242580777,,
2020-05-07,0.005039090893934173,0.007096178966303768,,
2020-05-08,-0.00833029594029977,0.007171980183780846,,
2020-05-11,-0.007126748705513997,0.0018133890498353011,,
2020-05-12,0.00816598131098889,-0.004434543918006462,,
2020-05-13,0.0034864222466373107,-0.005915287923079937,,
2020-05-14,0.0025814023821082444,0.009991005915652273,,
2020-05-15,0.0028125776740361985,0.0053808150919705255,,
2020-05-18,0.00027583956714227753,0.01257498945318325,,
2020-05-19,0.007493097238413071,-0.0036020167840886685,,
2020-05-20,0.008967067992307065,0.006933495861720651,,
2020-05-21,0.0015428686019713922,-0.002239314369293588,,
2020-05-22,0.0009796763536886743,0.0018000538426736767,,
2020-05-26,-0.00011693943689472519,0.004308121643674667,,
2020-05-27,0.003604251073639375,0.002912210618924327,,
2020-05-28,-0.0012856335347386505,-0.0006923374810750005,,
2020-05-29,0.005038573744104546,0.001872278620924206,,
2020-06-01,0.00040185868470477004,0.0012191654291831,,
2020-06-02,0.002126286900085539,0.0016348303591851021,,
2020-06-03,0.0002733613036962623,0.0018518952490440554,,
2020-06-04,-0.0015822602414230502,0.00010406729694611982,,
2020-06-05,0.00597524729895671,0.0011382514337618943,,
2020-06-08,0.004019612874516909,0.0002655981169690236,,
2020-06-09,-0.0001991957032796421,-0.0001443380515135928,,
2020-06-10,0.003241833651800974,0.00011547210784090822,,
2020-06-11,-0.0031031677753574627,-0.007318356575688689,,
2020-06-12,-0.0006744248144476828,0.0048732757190474985,,
2020-06-15,0.0005136899066702227,0.002231446972339235,,
2020-06-16,0.007750203522808086,0.0007042416417046837,,
2020-06-17,1.7755702836019793e-05,0.00015002019530729882,,
2020-06-18,0.001307432693106847,5.769408291111944e-05,,
